=== ML-KEM-512 hint 임계점 분석 ===
128비트 아래로 떨어지는 hint 수 탐색
Environment: SageMath + lattice-estimator 0.1.0
모델: LWE.dual_hybrid (MATZOV)

hints        rop (bits)      마진        안전?
0                 139.7      11.7          ✓
5                 138.6      10.6          ✓
10                137.5       9.5          ✓
15                136.5       8.5          ✓
20                135.1       7.1          ✓
25                133.6       5.6          ✓
30                132.3       4.3          ✓
35                131.1       3.1          ✓
40                129.1       1.1          ✓
45                128.4       0.4          ✓
50                126.5      -1.5   ✗ BROKEN
55                125.2      -2.8   ✗ BROKEN
60                124.3      -3.7   ✗ BROKEN

임계점: hint 50개에서 128비트 아래로 떨어짐
